,bus,rail_boardings,total_rides,is_sat,is_holi,avg_precip,temp_mid,temp_rng,temp_bs,hum_mid,hum_rng,wind_mid,wind_rng,pres_mid,pres_rng
2001-06-02,618944,282212,901156,1,0,0.0,57.0,8,1.0,80.5,27,12.5,11,29.58,0.2799999999999976
2001-06-03,432408,204795,637203,0,1,0.0,54.0,6,0.0,78.0,22,6.5,13,29.865000000000002,0.2699999999999996
2001-06-04,1029447,599699,1629146,0,0,0.0,51.5,7,0.5,76.5,19,11.0,10,30.055,0.1700000000000017
2001-06-05,935443,606051,1541494,0,0,0.65,54.5,9,-0.5,91.5,17,15.0,22,30.03,0.17999999999999972
2001-06-06,1004243,627572,1631815,0,0,0.0,59.5,13,0.5,89.0,22,9.0,10,30.03,0.05999999999999872
2001-06-07,1004748,646177,1650925,0,0,0.0,62.5,11,-0.5,78.5,21,4.0,8,30.055,0.04999999999999716
2001-06-08,1012502,642049,1654551,0,0,0.0,62.0,22,0.0,72.5,47,6.0,12,30.05,0.0799999999999983
2001-06-09,639444,358013,997457,1,0,0.0,69.5,25,-0.5,61.0,40,5.0,10,29.965,0.14999999999999858
2001-06-10,438393,242257,680650,0,1,0.0,75.0,18,0.0,60.0,32,13.5,15,29.81,0.17999999999999972
2001-06-11,910186,586260,1496446,0,0,0.0,79.5,17,0.5,65.0,38,6.5,13,29.735,0.10999999999999943
2001-06-12,946314,605737,1552051,0,0,0.65,75.5,23,0.5,74.5,51,12.5,17,29.84,0.17999999999999972
2001-06-13,911372,599114,1510486,0,0,0.0,83.0,20,0.0,64.0,46,11.5,11,29.785,0.07000000000000028
2001-06-14,891710,602538,1494248,0,0,0.52,82.0,22,0.0,66.0,48,10.5,21,29.835,0.1700000000000017
2001-06-15,912712,612983,1525695,0,0,0.0,73.0,10,1.0,70.0,40,13.0,18,29.865,0.25
2001-06-16,675335,340782,1016117,1,0,0.0,75.0,26,0.0,60.5,47,11.5,13,30.04,0.10000000000000142
2001-06-17,422714,237483,660197,0,1,0.01,75.5,25,0.5,51.0,48,6.0,12,30.11,0.14000000000000057
2001-06-18,909937,590688,1500625,0,0,0.1,81.5,23,0.5,57.0,54,14.0,16,30.005000000000003,0.23000000000000043
2001-06-19,944122,613028,1557150,0,0,0.0,77.5,19,0.5,52.5,17,12.5,15,30.04,0.21999999999999886
2001-06-20,939471,612707,1552178,0,0,0.0,76.5,21,-6.5,50.5,25,5.0,10,30.18,0.0799999999999983
2001-06-21,900375,596076,1496451,0,0,0.34,62.5,11,1.5,72.0,36,6.0,12,30.055,0.1700000000000017
2001-06-22,957514,626565,1584079,0,0,0.0,65.0,20,-3.0,60.0,68,7.0,14,30.02,0.0799999999999983
2001-06-23,631716,328467,960183,1,0,0.0,63.5,19,-0.5,71.5,51,6.5,13,30.085,0.05000000000000071
2001-06-24,443240,281620,724860,0,1,0.0,69.5,25,-0.5,60.0,48,6.0,12,30.155,0.08999999999999986
2001-06-25,947130,621006,1568136,0,0,0.0,76.0,20,-1.0,53.0,40,9.0,8,30.189999999999998,0.09999999999999787
2001-06-26,944301,635326,1579627,0,0,0.0,78.5,19,-0.5,47.5,35,6.5,13,30.21,0.0799999999999983
2001-06-27,944274,634994,1579268,0,0,0.0,78.5,19,-0.5,53.5,39,6.5,13,30.245,0.10999999999999943
2001-06-28,942731,611002,1553733,0,0,0.0,79.0,18,-1.0,56.5,39,5.0,10,30.16,0.14000000000000057
2001-06-29,996694,666587,1663281,0,0,0.0,79.5,19,-1.5,59.0,38,6.5,13,30.02,0.14000000000000057
2001-06-30,649995,363078,1013073,1,0,0.0,81.0,18,-1.0,59.5,43,10.5,11,29.92,0.120000000000001
2001-07-01,435317,271052,706369,0,1,0.0,68.0,22,0.0,62.0,28,14.0,14,30.064999999999998,0.370000000000001
2001-07-02,958879,627767,1586646,0,0,0.0,66.0,18,-1.0,42.5,35,9.5,11,30.195,0.23000000000000043
2001-07-03,990209,827670,1817879,0,0,0.45,75.5,23,-4.5,72.5,43,13.0,14,30.03,0.14000000000000057
2001-07-04,461383,306172,767555,0,1,0.0,79.5,19,0.5,59.0,62,11.5,13,29.91,0.0799999999999983
2001-07-05,918500,606574,1525074,0,0,0.0,67.0,12,0.0,55.0,24,10.0,12,30.0,0.20000000000000284
2001-07-06,958011,643965,1601976,0,0,0.0,66.5,23,-0.5,50.0,30,7.0,14,30.055,0.1700000000000017
2001-07-07,599172,347374,946546,1,0,0.25,77.0,22,-1.0,68.5,39,8.0,16,29.85,0.22000000000000242
2001-07-08,439513,256208,695721,0,1,0.0,80.5,15,-0.5,57.5,67,7.0,14,29.85,0.120000000000001
2001-07-09,935542,597633,1533175,0,0,0.0,81.5,19,-0.5,67.0,54,6.5,13,29.86,0.060000000000002274
2001-07-10,937066,610069,1547135,0,0,0.0,81.0,20,0.0,59.0,50,10.0,12,29.82,0.11999999999999744
2001-07-11,960775,614294,1575069,0,0,0.0,72.0,12,0.0,48.5,17,8.0,16,29.96,0.120000000000001
2001-07-12,949551,636236,1585787,0,0,0.0,72.0,16,0.0,51.5,33,8.0,16,30.04,0.0799999999999983
2001-07-13,957097,641244,1598341,0,0,0.0,71.5,15,0.5,45.0,40,7.5,15,30.104999999999997,0.08999999999999986
2001-07-14,629660,333365,963025,1,0,0.0,75.0,24,-1.0,44.5,37,7.0,14,30.02,0.10000000000000142
2001-07-15,420137,241827,661964,0,1,0.0,77.5,23,-0.5,49.5,37,6.0,12,29.985,0.08999999999999986
2001-07-16,880246,623660,1503906,0,0,0.0,78.5,17,-0.5,54.5,43,6.5,13,29.97,0.09999999999999787
2001-07-17,920250,625940,1546190,0,0,0.0,82.0,14,-2.0,67.5,27,7.5,5,29.915,0.07000000000000028
2001-07-18,935427,612765,1548192,0,0,0.01,80.5,15,-0.5,71.0,44,6.5,13,29.93,0.10000000000000142
2001-07-19,949691,618451,1568142,0,0,0.0,81.5,17,-0.5,73.5,41,7.0,14,29.97,0.08000000000000185
2001-07-20,937942,610617,1548559,0,0,0.0,84.0,18,-1.0,67.5,47,6.5,13,29.955,0.11000000000000298
2001-07-21,593545,305457,899002,1,0,0.0,85.0,16,-1.0,66.0,36,7.0,14,29.85,0.120000000000001
2001-07-22,379766,200473,580239,0,1,0.26,85.0,24,-1.0,69.0,44,12.5,17,29.845,0.10999999999999943
2001-07-23,854318,574685,1429003,0,0,1.32,84.0,22,-1.0,75.5,37,14.5,21,29.825000000000003,0.08999999999999986
2001-07-24,939133,630753,1569886,0,0,0.0,81.5,17,0.5,72.0,42,6.5,13,29.855,0.07000000000000028
2001-07-25,874776,612547,1487323,0,0,0.92,74.0,12,0.0,82.5,35,11.0,14,29.91,0.20000000000000284
2001-07-26,954848,636674,1591522,0,0,0.0,73.5,11,-0.5,65.0,38,13.5,13,30.085,0.19000000000000128
2001-07-27,933625,634484,1568109,0,0,0.0,71.0,14,-1.0,60.5,21,11.5,11,30.17,0.13999999999999702
2001-07-28,607195,357848,965043,1,0,0.03,73.0,14,0.0,71.0,32,5.0,10,30.02,0.17999999999999972
2001-07-29,432534,236416,668950,0,1,0.0,82.0,18,0.0,57.0,74,6.0,12,29.924999999999997,0.08999999999999986
2001-07-30,908372,586076,1494448,0,0,0.0,80.5,19,-0.5,73.0,42,6.0,12,29.994999999999997,0.08999999999999986
2001-07-31,884617,596502,1481119,0,0,0.0,85.5,21,-0.5,62.5,45,9.0,10,30.075,0.10999999999999943
2001-08-01,873553,612734,1486287,0,0,0.0,85.5,15,0.5,61.5,35,10.5,11,30.155,0.08999999999999986
2001-08-02,790639,549367,1340006,0,0,3.14,82.0,18,-4.0,83.5,33,11.5,23,30.13,0.21999999999999886
2001-08-03,984483,603405,1587888,0,0,0.0,79.5,13,0.5,73.5,41,7.0,14,30.04,0.10000000000000142
2001-08-04,648406,319386,967792,1,0,0.0,76.0,16,0.0,68.5,49,6.5,13,30.015,0.05000000000000071
2001-08-05,453344,225172,678516,0,1,0.0,80.5,19,-0.5,70.0,40,4.5,9,30.09,0.060000000000002274
2001-08-06,907499,585919,1493418,0,0,0.0,81.5,19,0.5,61.0,40,8.0,8,30.125,0.09000000000000341
2001-08-07,875431,610601,1486032,0,0,0.0,85.0,20,0.0,66.0,32,10.5,11,30.055,0.13000000000000256
2001-08-08,854367,596163,1450530,0,0,0.0,85.5,15,0.5,62.5,49,9.0,8,29.965,0.13000000000000256
