,Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
155,2001-06-05,57,52,46,55,51,44,100,-,86,20,-,0,30.13,-,29.99,-,0.63,-
156,2001-06-06,62,56,51,58,54,52,100,-,84,9,-,4,30.08,-,30.01,-,0.01,-
157,2001-06-07,68,60,52,56,53,50,97,-,63,9,-,0,30.09,-,30.04,-,0.0,-
158,2001-06-08,73,60,48,55,51,45,100,-,47,10,-,0,30.1,-,30.02,-,0.0,-
159,2001-06-09,81,65,50,59,55,50,100,-,43,9,-,0,30.05,-,29.9,-,0.0,-
160,2001-06-10,82,74,66,68,61,58,76,-,47,20,-,5,29.9,-,29.72,-,0.0,-
161,2001-06-11,87,78,68,69,66,61,90,-,48,28,-,0,29.82,-,29.71,-,0.0,-
162,2001-06-12,86,74,63,68,65,62,100,-,49,32,-,0,29.95,-,29.77,-,0.51,-
163,2001-06-13,91,80,68,72,69,68,100,-,52,18,-,0,29.83,-,29.77,-,0.0,-
164,2001-06-14,91,80,69,72,68,64,93,-,48,25,-,6,29.9,-,29.77,-,0.31,-
165,2001-06-15,77,70,64,69,62,56,96,-,51,16,-,0,30.01,-,29.76,-,0.04,-
166,2001-06-16,86,70,55,63,57,54,93,-,43,16,-,0,30.12,-,30.01,-,0.0,-
167,2001-06-17,87,71,55,64,56,51,96,-,32,17,-,0,30.19,-,30.06,-,0.05,-
168,2001-06-18,91,78,64,65,62,56,100,-,30,21,-,0,30.15,-,29.91,-,0.35,-
169,2001-06-19,84,74,66,67,62,55,68,-,47,18,-,5,30.17,-,29.94,-,0.02,-
170,2001-06-20,75,70,64,58,53,48,75,-,44,10,-,0,30.24,-,30.16,-,0.0,-
171,2001-06-21,69,64,59,61,55,49,96,-,53,12,-,0,30.16,-,29.98,-,0.17,-
172,2001-06-22,69,60,52,58,54,51,100,-,66,13,-,0,30.07,-,29.99,-,0.02,-
173,2001-06-23,73,62,51,55,53,50,100,-,46,12,-,0,30.13,-,30.06,-,0.0,-
174,2001-06-24,81,66,51,58,55,52,100,-,39,12,-,0,30.22,-,30.12,-,0.0,-
175,2001-06-25,84,72,59,62,59,57,93,-,41,12,-,0,30.25,-,30.16,-,0.0,-
176,2001-06-26,86,74,63,60,58,56,87,-,36,13,-,0,30.27,-,30.19,-,0.0,-
177,2001-06-27,87,75,63,64,61,57,90,-,38,10,-,0,30.31,-,30.2,-,0.0,-
178,2001-06-28,86,74,63,66,63,60,97,-,41,10,-,0,30.25,-,30.1,-,0.0,-
179,2001-06-29,87,76,66,65,64,63,87,-,46,13,-,4,30.11,-,29.96,-,0.0,-
180,2001-06-30,88,78,69,67,65,62,87,-,43,17,-,4,29.99,-,29.88,-,0.0,-
181,2001-07-01,78,66,55,68,53,43,84,-,51,21,-,6,30.27,-,29.91,-,0.0,-
182,2001-07-02,78,62,51,49,42,35,77,-,28,12,-,4,30.31,-,30.09,-,0.0,-
183,2001-07-03,79,72,64,68,63,51,97,-,54,17,-,5,30.09,-,29.96,-,0.07,-
184,2001-07-04,88,78,68,68,60,52,93,-,31,21,-,0,29.97,-,29.9,-,0.0,-
